algorithm,experiment,condition,trial,network_seed,parameter_source,noise_type,noise_rate_hz,teacher_weight,ciphertext_bytes,simulation_wall_s,decoder_tie_fraction,victor_purpura_mean,van_rossum_mean,bit_errors,ber,ciphertext_byte_accuracy,exact_ciphertext_recovery,decryption_success,exact_plaintext_recovery,plaintext_byte_accuracy,noise_seed
S-DES,teaching_ablation,es_stdp_teacher_off,4,228529259,ES+STDP no teacher,poisson_excitatory,10.0,1200.0,105,0.5395069278310984,0.016666666666666666,72.39187500000003,6.245256823542699,7,0.008333333333333333,0.9333333333333333,False,True,False,0.9333333333333333,1070492372
S-DES,teaching_ablation,es_static_teacher_off,4,228529259,ES static,poisson_excitatory,10.0,1200.0,105,0.5336160541046411,0.004761904761904762,65.60312500000002,5.8804925437351905,1,0.0011904761904761906,0.9904761904761905,False,True,False,0.9904761904761905,1070492372
S-DES,teaching_ablation,default_stdp_teacher_off,4,228529259,default+STDP no teacher,poisson_excitatory,10.0,1200.0,105,0.5345398560166359,0.0761904761904762,75.44500000000004,6.638049841464945,53,0.0630952380952381,0.6190476190476191,False,True,False,0.6190476190476191,1070492372
S-DES,teaching_ablation,teacher_assisted_then_off,4,228529259,ES+teacher training,poisson_excitatory,10.0,1200.0,105,0.537685529096052,0.02738095238095238,81.56562500000001,6.7870662879400765,17,0.02023809523809524,0.8571428571428572,False,True,False,0.8571428571428572,1070492372
S-DES,teaching_ablation,teacher_only,4,228529259,Teaching-only shortcut,poisson_excitatory,10.0,1200.0,105,1.0324890371412039,0.0,51.36437500000004,5.542983517382245,0,0.0,1.0,True,True,True,1.0,1070492372
S-DES,teaching_ablation,full_network,4,228529259,ES+teacher full network,poisson_excitatory,10.0,1200.0,105,1.0407257229089737,0.0,129.70125,10.766357431442582,0,0.0,1.0,True,True,True,1.0,1070492372
S-DES,teaching_ablation,es_stdp_teacher_off,5,2056791297,ES+STDP no teacher,poisson_excitatory,10.0,1200.0,105,0.5320140239782631,0.010714285714285714,72.25562500000001,6.232893834909138,2,0.002380952380952381,0.9809523809523809,False,True,False,0.9809523809523809,440793807
S-DES,teaching_ablation,es_static_teacher_off,5,2056791297,ES static,poisson_excitatory,10.0,1200.0,105,0.5369424589443952,0.0011904761904761906,65.556875,5.8686401863522875,1,0.0011904761904761906,0.9904761904761905,False,True,False,0.9904761904761905,440793807
S-DES,teaching_ablation,default_stdp_teacher_off,5,2056791297,default+STDP no teacher,poisson_excitatory,10.0,1200.0,105,0.5353878140449524,0.07738095238095238,75.49187500000005,6.640153900535755,53,0.0630952380952381,0.6095238095238096,False,True,False,0.6095238095238096,440793807
S-DES,teaching_ablation,teacher_assisted_then_off,5,2056791297,ES+teacher training,poisson_excitatory,10.0,1200.0,105,0.5500522230286151,0.02738095238095238,81.30499999999999,6.783752911303919,14,0.016666666666666666,0.8857142857142857,False,True,False,0.8857142857142857,440793807
