algorithm,experiment,condition,noise_type,noise_rate_hz,teacher_weight,n_trials,ber_mean,ber_std,ber_median,ber_q25,ber_q75,ber_ci95_low,ber_ci95_high,bit_errors_mean,bit_errors_std,bit_errors_median,bit_errors_q25,bit_errors_q75,bit_errors_ci95_low,bit_errors_ci95_high,ciphertext_byte_accuracy_mean,ciphertext_byte_accuracy_std,ciphertext_byte_accuracy_median,ciphertext_byte_accuracy_q25,ciphertext_byte_accuracy_q75,ciphertext_byte_accuracy_ci95_low,ciphertext_byte_accuracy_ci95_high,exact_ciphertext_recovery_mean,exact_ciphertext_recovery_std,exact_ciphertext_recovery_median,exact_ciphertext_recovery_q25,exact_ciphertext_recovery_q75,exact_ciphertext_recovery_ci95_low,exact_ciphertext_recovery_ci95_high,exact_ciphertext_recovery_wilson95_low,exact_ciphertext_recovery_wilson95_high,decryption_success_mean,decryption_success_std,decryption_success_median,decryption_success_q25,decryption_success_q75,decryption_success_ci95_low,decryption_success_ci95_high,decryption_success_wilson95_low,decryption_success_wilson95_high,exact_plaintext_recovery_mean,exact_plaintext_recovery_std,exact_plaintext_recovery_median,exact_plaintext_recovery_q25,exact_plaintext_recovery_q75,exact_plaintext_recovery_ci95_low,exact_plaintext_recovery_ci95_high,exact_plaintext_recovery_wilson95_low,exact_plaintext_recovery_wilson95_high,decoder_tie_fraction_mean,decoder_tie_fraction_std,decoder_tie_fraction_median,decoder_tie_fraction_q25,decoder_tie_fraction_q75,decoder_tie_fraction_ci95_low,decoder_tie_fraction_ci95_high,victor_purpura_mean_mean,victor_purpura_mean_std,victor_purpura_mean_median,victor_purpura_mean_q25,victor_purpura_mean_q75,victor_purpura_mean_ci95_low,victor_purpura_mean_ci95_high,van_rossum_mean_mean,van_rossum_mean_std,van_rossum_mean_median,van_rossum_mean_q25,van_rossum_mean_q75,van_rossum_mean_ci95_low,van_rossum_mean_ci95_high,simulation_wall_s_mean,simulation_wall_s_std,simulation_wall_s_median,simulation_wall_s_q25,simulation_wall_s_q75,simulation_wall_s_ci95_low,simulation_wall_s_ci95_high,plaintext_byte_accuracy_mean,plaintext_byte_accuracy_std,plaintext_byte_accuracy_median,plaintext_byte_accuracy_q25,plaintext_byte_accuracy_q75,plaintext_byte_accuracy_ci95_low,plaintext_byte_accuracy_ci95_high
AES,teaching_ablation,default_stdp_teacher_off,poisson_excitatory,10.0,1200.0,10,0.06455078125,0.0018671393749609356,0.064453125,0.0634765625,0.064453125,0.063671875,0.0658203125,66.1,1.911950719959998,66.0,65.0,66.0,65.2,67.4,0.5953125,0.014168198446599419,0.59765625,0.587890625,0.6015625,0.58671875,0.60390625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2775327998628892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2775327998628892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2775327998628892,0.10419921875,0.0037413660190610955,0.1044921875,0.1015625,0.106201171875,0.1021484375,0.1064453125,96.60387499999999,0.1640089661336299,96.59562499999998,96.52421874999999,96.72781250000001,96.50848437499998,96.694884375,7.650849178593155,0.00695411350010662,7.650878963357364,7.648077234678324,7.653569307695456,7.6468110702476455,7.65496643307166,0.6506858152104542,0.0044305984729889735,0.6496751814847812,0.6480236715287901,0.6531789599684998,0.6483039591007401,0.6534220504947006,,,,,,,
AES,teaching_ablation,es_static_teacher_off,poisson_excitatory,10.0,1200.0,10,0.00302734375,0.0022763194970113394,0.001953125,0.001220703125,0.005126953125,0.0017578125,0.00439453125,3.1,2.3309511649396115,2.0,1.25,5.25,1.8,4.502499999999986,0.97578125,0.018210555976090715,0.984375,0.958984375,0.990234375,0.9640625,0.9859375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2775327998628892,0.7,0.48304589153964794,1.0,0.25,1.0,0.4,1.0,0.39677814746114537,0.8922087325936989,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2775327998628892,0.00556640625,0.002686286593200229,0.0048828125,0.00390625,0.007568359375,0.0041015625,0.0072265625,82.61831250000003,0.24477491963990697,82.65500000000003,82.44781250000003,82.82171875000003,82.46956093750005,82.76213437500004,6.603760566393968,0.014691258611272738,6.606383244493218,6.591598916647577,6.61622408440596,6.595081204486762,6.612291335388189,0.6535547659033909,0.004924561247892207,0.6528734089806676,0.6506869972799905,0.6555483230040409,0.650722910798504,0.6565882744354895,0.7891156462585034,0.08051770722629106,0.8380952380952381,0.7523809523809524,0.8380952380952381,0.7387755102040817,0.836734693877551
AES,teaching_ablation,es_stdp_teacher_off,poisson_excitatory,10.0,1200.0,10,0.01728515625,0.002565219831360097,0.01708984375,0.015869140625,0.019287109375,0.0158203125,0.01875,17.7,2.6267851073127395,17.5,16.25,19.75,16.2,19.2,0.86328125,0.019574604659339724,0.86328125,0.845703125,0.875,0.85234375,0.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2775327998628892,0.1,0.31622776601683794,0.0,0.0,0.0,0.0,0.3,0.017876213095072896,0.4041500267952385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2775327998628892,0.03662109375,0.001855754272622295,0.03662109375,0.035400390625,0.037841796875,0.035546875,0.0376953125,88.48925000000004,0.30286863443121187,88.54031250000003,88.34968750000003,88.65875000000007,88.30487187500003,88.66083437500005,6.9287771303877275,0.018373863756163896,6.932574492745027,6.9190047011936935,6.939472909704087,6.917582967109457,6.939013449654582,0.651062548905611,0.00537511912930938,0.6501287064747885,0.6466924724518321,0.6538240132504143,0.6479267205140786,0.6543318996147718,0.06666666666666665,0.0,0.06666666666666665,0.06666666666666665,0.06666666666666665,0.06666666666666665,0.06666666666666665
AES,teaching_ablation,full_network,poisson_excitatory,10.0,1200.0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.7224672001371107,0.9999999999999999,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.7224672001371107,0.9999999999999999,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.7224672001371107,0.9999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,154.53918749999997,0.41002445832365675,154.52531249999998,154.1634375,154.81546874999998,154.29339687499998,154.77939687499997,11.910969846673064,0.025382156927279777,11.911136139718257,11.89155948252251,11.92705328770037,11.896367396982056,11.926156356840998,1.2517256900202482,0.0070771162471884985,1.2510484200902283,1.2460089904488996,1.2542647097725421,1.2477128021419048,1.255807224837481,1.0,0.0,1.0,1.0,1.0,1.0,1.0
AES,teaching_ablation,teacher_assisted_then_off,poisson_excitatory,10.0,1200.0,10,0.041796875,0.002383203804391032,0.04150390625,0.0400390625,0.04296875,0.0404296875,0.04326171875,42.8,2.440400695696417,42.5,41.0,44.0,41.4,44.3,0.6796875,0.021788021524324883,0.68359375,0.666015625,0.6953125,0.665625,0.6921875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2775327998628892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2775327998628892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2775327998628892,0.0810546875,0.0030187560206691743,0.080078125,0.078369140625,0.08349609375,0.079296875,0.08291015625,99.33237499999998,0.20199263428539874,99.31531250000003,99.18859374999997,99.38046874999996,99.22685624999998,99.45626562499999,7.56652391494525,0.012392847413420924,7.563296291941821,7.557521727708137,7.570576406812529,7.560346174545823,7.574463296960622,0.6504696360090747,0.003059610854628578,0.6500553450314328,0.6484105960698798,0.6516248885309324,0.6487751545169158,0.6522904165968066,,,,,,,
AES,teaching_ablation,teacher_only,poisson_excitatory,10.0,1200.0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.7224672001371107,0.9999999999999999,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.7224672001371107,0.9999999999999999,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.7224672001371107,0.9999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0968750000001,0.0,65.0968750000001,65.0968750000001,65.0968750000001,65.0968750000001,65.0968750000001,6.256346234633369,0.0,6.256346234633369,6.256346234633369,6.256346234633369,6.256346234633369,6.256346234633369,1.2509560831356794,0.005069166109353647,1.250113204587251,1.2466816536034457,1.2531503833597526,1.2481749515433331,1.2541950826375978,1.0,0.0,1.0,1.0,1.0,1.0,1.0
AES,teaching_weight_sweep,teacher_assisted_then_off,poisson_excitatory,10.0,0.0,10,0.0177734375,0.0011086840081983333,0.0185546875,0.016845703125,0.0185546875,0.01708984375,0.018359375,18.2,1.1352924243950933,19.0,17.25,19.0,17.5,18.8,0.86328125,0.015296015787071264,0.859375,0.8515625,0.865234375,0.8546875,0.87265625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2775327998628892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2775327998628892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2775327998628892,0.03583984375,0.0015302941762425988,0.0361328125,0.0361328125,0.036865234375,0.03486328125,0.03662109375,88.60643750000004,0.17567455558265627,88.63718750000004,88.47187500000004,88.74703125000005,88.49754843750004,88.70844375000003,6.936277460876117,0.012738485553227775,6.937338394437132,6.928078456473537,6.941492345743933,6.928971747634721,6.9436232723432285,0.6522873015841469,0.005131731042093343,0.6532604194944724,0.6478942147223279,0.6544283891562372,0.6493565033643972,0.6553172693611122,,,,,,,
AES,teaching_weight_sweep,teacher_assisted_then_off,poisson_excitatory,10.0,300.0,10,0.0111328125,0.0022646519701726674,0.01171875,0.0107421875,0.0126953125,0.009765625,0.01240234375,11.4,2.3190036174568114,12.0,11.0,13.0,10.0,12.6,0.91484375,0.016242152218242368,0.9140625,0.900390625,0.919921875,0.90625,0.925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2775327998628892,0.2,0.42163702135578396,0.0,0.0,0.0,0.0,0.40249999999998637,0.05668215145437519,0.5098375284633583,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2775327998628892,0.023828125,0.0026122920114243333,0.02392578125,0.022705078125,0.02587890625,0.022265625,0.02529296875,89.91550000000004,0.23281150726858127,89.88125000000005,89.84890625000006,90.08515625000004,89.78372656250004,90.04970000000006,7.034689246645892,0.015097185804346666,7.035970329334296,7.026951382954387,7.042814994322953,7.025846416945051,7.043092816303768,0.6522020705742761,0.005075832284357921,0.6509720284957439,0.6486193336895667,0.65634708001744,0.6493216901167762,0.6553284385538427,0.41904761904761906,0.12121830534626525,0.41904761904761906,0.3761904761904762,0.46190476190476193,0.33333333333333337,0.5047619047619047
AES,teaching_weight_sweep,teacher_assisted_then_off,poisson_excitatory,10.0,600.0,10,0.05712890625,0.002847144479904932,0.05712890625,0.054931640625,0.058349609375,0.05556640625,0.0587890625,58.5,2.9154759474226504,58.5,56.25,59.75,56.9,60.3,0.6015625,0.01948779888944761,0.60546875,0.595703125,0.609375,0.58984375,0.6125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2775327998628892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2775327998628892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2775327998628892,0.11044921875,0.0038639747983656046,0.1103515625,0.108642578125,0.11181640625,0.10830078125,0.11259765625,97.168,0.2729355591425119,97.14125000000003,97.00406250000002,97.21328125,97.01893437500001,97.33112968749998,7.415961903233759,0.01684069822277886,7.411435851063112,7.403123797755635,7.4257041241198944,7.4066920795656,7.426545737817124,0.6560395484557375,0.004567005597379597,0.6562022959114984,0.6526434759725817,0.6596290017478168,0.6534101000614464,0.6587403345108033,,,,,,,
AES,teaching_weight_sweep,teacher_assisted_then_off,poisson_excitatory,10.0,900.0,10,0.0546875,0.0026445437515091015,0.05419921875,0.052978515625,0.0556640625,0.0533203125,0.0564453125,56.0,2.70801280154532,55.5,54.25,57.0,54.5,57.7,0.596875,0.014358384116760648,0.59765625,0.5859375,0.609375,0.58828125,0.60546875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2775327998628892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2775327998628892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2775327998628892,0.10625,0.0042142063366360045,0.1064453125,0.103515625,0.108154296875,0.10380859375,0.1087890625,99.19474999999998,0.26798797003472,99.3278125,99.07750000000001,99.3646875,99.0204625,99.3327578125,7.545481645583623,0.01606355724743599,7.550256911935316,7.541271832397237,7.554436453554693,7.535445186855264,7.554321134807562,0.6525323563022539,0.007482855213900214,0.6514878629241139,0.6487306337221526,0.6565669163828716,0.6482932363002328,0.6568926899059442,,,,,,,
