algorithm,payload_bytes,latency_mean_s,latency_std_s,throughput_mean_Bps,peak_rss_mean_mb,exact_recovery_rate
AES,128,0.8486086022264013,0.0019031296385483738,150.8356495513274,588.0,0.0
AES,256,1.5267398292198777,0.006965653724466683,167.67987891243345,588.0,0.0
AES,512,2.9135841037301966,0.01151074356913638,175.73041261762273,588.0,0.0
AES,1024,5.811016221453126,0.04670829711676251,176.22459524265875,588.0,0.0
AES,2048,11.866008165990934,0.048592414999936065,172.5957728777521,588.0,0.0
ChaCha20,128,0.7376648379334559,0.0019180116698338876,173.5213218265545,588.0,0.0
ChaCha20,256,1.4222134943120182,0.006422495942306555,180.00354744116984,588.0,0.0
ChaCha20,512,2.8241934476730726,0.011203955588029803,181.29259573106074,588.0,0.0
ChaCha20,1024,5.679788323119283,0.027169609348308504,180.29115910459407,588.0,0.0
ChaCha20,2048,11.703258592324952,0.0357851659538479,174.9950897357268,588.0,0.0
DES,128,0.7625385722300658,0.0007947200296761072,167.8604825885267,588.0,0.0
DES,256,1.4488279169114928,0.004496647930149112,176.69568782759197,588.0,0.0
DES,512,2.828879463563984,0.012989715261174416,180.99294182691347,588.0,0.0
DES,1024,5.659653785716121,0.010555246806293434,180.93021470066523,588.0,0.0
DES,2048,11.75335165912596,0.031291844180368726,174.24899245710813,588.0,0.0
ECIES,128,1.1669342774742593,0.0017459182272293724,109.68928897819869,588.00390625,1.0
ECIES,256,1.8531454897796114,0.008395248940096403,138.1453842987984,588.00390625,1.0
ECIES,512,3.232450397918001,0.010919709043784705,158.39497152780328,588.00390625,1.0
ECIES,1024,6.12929088040255,0.005426922264775283,167.0667218952668,588.00390625,1.0
ECIES,2048,12.240122426999733,0.018030452375573824,167.3188298470744,588.00390625,1.0
RSA,128,1.3606676512087386,0.0108811653553925,94.07548537555856,588.0,0.0
RSA,256,2.740183664020151,0.0026152383200423097,93.42445134536543,588.0,0.0
RSA,512,4.181690779902662,0.011310180784658423,122.43911009712633,588.0,0.0
RSA,1024,8.552145377965644,0.025945385290209764,119.73677272720913,588.0,0.0
RSA,2048,16.49185528792441,0.058170951737428395,124.18353995285848,588.00390625,0.0
S-DES,128,0.6740466942234585,0.002718246150034656,189.89987753765266,587.8984375,0.0
S-DES,256,1.3603218776018668,0.008386913228170487,188.19553939348165,587.8984375,0.0
S-DES,512,2.746483784945061,0.021269614343077666,186.42761412378255,587.8984375,0.0
S-DES,1024,5.611464467908566,0.004218592881640741,182.48362648306548,587.8984375,0.0
S-DES,2048,11.757018346649906,0.05322702599745437,174.1962065381896,588.0,0.0
