algorithm,noise_type,noise_rate_hz,n_observations,n_payloads,n_models,n_noise_replicates,ber_mean,ber_std,ber_ci95_low,ber_ci95_high,ciphertext_byte_accuracy_mean,ciphertext_byte_accuracy_std,ciphertext_byte_accuracy_ci95_low,ciphertext_byte_accuracy_ci95_high,decoder_tie_fraction_mean,decoder_tie_fraction_std,decoder_tie_fraction_ci95_low,decoder_tie_fraction_ci95_high,victor_purpura_mean_mean,victor_purpura_mean_std,victor_purpura_mean_ci95_low,victor_purpura_mean_ci95_high,van_rossum_mean_mean,van_rossum_mean_std,van_rossum_mean_ci95_low,van_rossum_mean_ci95_high,exact_ciphertext_recovery_rate,exact_ciphertext_recovery_wilson95_low,exact_ciphertext_recovery_wilson95_high,decryption_success_rate,decryption_success_wilson95_low,decryption_success_wilson95_high,exact_plaintext_recovery_rate,exact_plaintext_recovery_wilson95_low,exact_plaintext_recovery_wilson95_high
AES,none,0.0,24,4,3,2,0.023193359375,0.0012958765677676507,0.022705078125,0.023681640625,0.828125,0.012618325829488254,0.8232421875,0.8330078125,0.0458984375,0.0030747056708953246,0.044718424479166664,0.04707946777343751,88.5965625,0.482642501202925,88.40880208333333,88.78989583333333,6.908242052257019,0.01814658786515747,6.90064787253506,6.914938710728033,0.0,1.3877787807814457e-17,0.13797620467498017,0.0,1.3877787807814457e-17,0.13797620467498017,0.0,1.3877787807814457e-17,0.13797620467498017
AES,poisson_excitatory,5.0,24,4,3,2,0.020711263020833332,0.0027011023776747937,0.019612630208333332,0.021769205729166668,0.8440755208333334,0.018355098465074778,0.8365885416666666,0.8515625,0.039876302083333336,0.0034396351652754217,0.038533528645833336,0.041259765625,88.55098958333333,0.4646288007013169,88.36239518229168,88.72886718750001,6.9192408159787755,0.019631307854972968,6.911656957807438,6.926814901089489,0.0,1.3877787807814457e-17,0.13797620467498017,0.0,1.3877787807814457e-17,0.13797620467498017,0.0,1.3877787807814457e-17,0.13797620467498017
AES,poisson_excitatory,10.0,24,4,3,2,0.018513997395833332,0.003289438039439597,0.0172119140625,0.019775390625,0.8597005208333334,0.022977733042002797,0.8509033203125,0.8688151041666666,0.036661783854166664,0.004092648166812814,0.0350341796875,0.038167317708333336,88.82380208333336,0.4652709266791502,88.63775260416669,88.99882812500003,6.950070207930967,0.022741942345342915,6.941249813334799,6.9590493973446,0.0,1.3877787807814457e-17,0.13797620467498017,0.0,1.3877787807814457e-17,0.13797620467498017,0.0,1.3877787807814457e-17,0.13797620467498017
AES,poisson_excitatory,25.0,24,4,3,2,0.024007161458333332,0.0044231374445333,0.022257486979166668,0.0257568359375,0.8219401041666666,0.03432394666897048,0.80859375,0.8349609375,0.045450846354166664,0.005231116400915295,0.04345703125,0.047444661458333336,91.33351562499998,0.44388802249165177,91.16384505208333,91.50984440104166,7.144419033434488,0.026547241887442473,7.134182159219985,7.155445360206821,0.0,1.3877787807814457e-17,0.13797620467498017,0.0,1.3877787807814457e-17,0.13797620467498017,0.0,1.3877787807814457e-17,0.13797620467498017
AES,poisson_excitatory,50.0,24,4,3,2,0.057373046875,0.005710649281038227,0.055216471354166664,0.059651692708333336,0.6259765625,0.03780675177517109,0.6110026041666666,0.6402994791666666,0.1005859375,0.008405642605743426,0.0972900390625,0.10380045572916667,100.07190104166664,0.7493022904849757,99.78679557291665,100.3684427083333,7.720059994727944,0.043194595754988074,7.703810039679675,7.73648122926848,0.0,1.3877787807814457e-17,0.13797620467498017,0.0,1.3877787807814457e-17,0.13797620467498017,0.0,1.3877787807814457e-17,0.13797620467498017
AES,poisson_excitatory,100.0,24,4,3,2,0.14774576822916666,0.014704882099121902,0.1417236328125,0.15340270996093752,0.287109375,0.04230747333028045,0.2698567708333333,0.3033854166666667,0.2587890625,0.017930773461595186,0.251708984375,0.2658284505208333,124.56374999999996,1.1950443841812013,124.1015950520833,125.0539309895833,9.180002645058993,0.05919678117636688,9.157277012429123,9.203047577821023,0.0,1.3877787807814457e-17,0.13797620467498017,0.041666666666666664,0.0073934561655057685,0.20241806478655938,0.0,1.3877787807814457e-17,0.13797620467498017
AES,poisson_inhibitory,5.0,24,4,3,2,0.022054036458333332,0.002229076356284281,0.02119852701822917,0.0229095458984375,0.8349609375,0.015335722325535367,0.8291015625,0.8408203125,0.043904622395833336,0.0029435131014180697,0.042765299479166664,0.045084635416666664,89.32757812500002,0.42933899651677315,89.15484309895834,89.49891471354167,6.9325301892045275,0.01694676003990701,6.926046457479837,6.939261468127175,0.0,1.3877787807814457e-17,0.13797620467498017,0.0,1.3877787807814457e-17,0.13797620467498017,0.0,1.3877787807814457e-17,0.13797620467498017
AES,poisson_inhibitory,10.0,24,4,3,2,0.021728515625,0.002765886219931445,0.020711263020833332,0.022786458333333332,0.8362630208333334,0.02027839510762258,0.8284505208333334,0.8440755208333334,0.0438232421875,0.003823778041941344,0.042236328125,0.045247395833333336,90.00559895833335,0.4457784882310157,89.83668098958333,90.1849283854167,6.957430433901602,0.015898355383207243,6.951379988928935,6.963469289793877,0.0,1.3877787807814457e-17,0.13797620467498017,0.0,1.3877787807814457e-17,0.13797620467498017,0.0,1.3877787807814457e-17,0.13797620467498017
AES,poisson_inhibitory,25.0,24,4,3,2,0.023111979166666668,0.0038167683604429124,0.021565755208333332,0.024576822916666668,0.8277994791666666,0.023883790630466972,0.8186848958333334,0.8372395833333334,0.0458984375,0.003765730001467684,0.04443359375,0.047403971354166664,92.11192708333336,0.3754312247354338,91.9668444010417,92.26074414062502,7.042409063401368,0.010828202317610912,7.038149419169475,7.046763767044495,0.0,1.3877787807814457e-17,0.13797620467498017,0.0,1.3877787807814457e-17,0.13797620467498017,0.0,1.3877787807814457e-17,0.13797620467498017
AES,poisson_inhibitory,50.0,24,4,3,2,0.031575520833333336,0.004219232225525951,0.030029296875,0.033243815104166664,0.7747395833333334,0.028465133293308097,0.763671875,0.7848307291666666,0.057413736979166664,0.005837958814130334,0.05517578125,0.059814453125,95.46028645833337,0.4767790261551876,95.28346093750004,95.64857226562503,7.2213064753967515,0.01637886259978132,7.214922500076556,7.227510433798983,0.0,1.3877787807814457e-17,0.13797620467498017,0.0,1.3877787807814457e-17,0.13797620467498017,0.0,1.3877787807814457e-17,0.13797620467498017
