algorithm,payload_bytes,trial,ciphertext_bytes,network_build_s,encryption_s,snn_simulation_s,spike_readout_s,decoding_s,decryption_s,online_total_without_build_s,peak_process_rss_mb,throughput_payload_bytes_per_s,decoder_tie_fraction,decryption_success,exact_plaintext_recovery
S-DES,128,0,128,0.06612035306170583,0.0015946358907967806,0.6574823479168117,7.903506048023701e-05,0.016282791970297694,0.0017325130756944418,0.6771713239140809,587.8984375,189.02158948514568,0.009765625,True,False
S-DES,128,1,128,0.06448538904078305,0.0015524011105298996,0.6532932228874415,8.235988207161427e-05,0.01566273905336857,0.0016360150184482336,0.6722267379518598,587.8984375,190.41194402649074,0.009765625,True,False
S-DES,128,2,128,0.06456813192926347,0.0015826539602130651,0.653934771195054,8.104485459625721e-05,0.015516051789745688,0.0016274990048259497,0.672742020804435,587.8984375,190.2660991013216,0.009765625,True,False
S-DES,256,0,256,0.06460138596594334,0.0032940770033746958,1.32118238392286,9.053200483322144e-05,0.03829964017495513,0.003180089872330427,1.3660467229783535,587.8984375,187.40208200335223,0.0087890625,True,False
S-DES,256,1,256,0.0641117449849844,0.003165522823110223,1.3058858069125563,8.938205428421497e-05,0.038303409004583955,0.003250726033002138,1.3506948468275368,587.8984375,189.5320772129127,0.0087890625,True,False
S-DES,256,2,256,0.06402956694364548,0.00326635898090899,1.3192632379941642,9.134202264249325e-05,0.03842359012924135,0.0031795338727533817,1.3642240629997104,587.8984375,187.65245896417994,0.0087890625,True,False
S-DES,512,0,512,0.06515242904424667,0.0063060440588742495,2.606496548978612,0.00010351883247494698,0.10890439106151462,0.006376792909577489,2.728187295841053,587.8984375,187.67039960215018,0.00830078125,True,False
S-DES,512,1,512,0.06550745479762554,0.0061871318612247705,2.6207540740724653,0.00010077282786369324,0.10794013901613653,0.006460994947701693,2.741443112725392,587.8984375,186.762948909415,0.00830078125,True,False
S-DES,512,2,512,0.06450143689289689,0.0063956500962376595,2.647561218123883,0.00010754610411822796,0.10934636206366122,0.006410169880837202,2.7698209462687373,587.8984375,184.84949385978254,0.00830078125,True,False
S-DES,1024,0,1024,0.06408781209029257,0.012755694100633264,5.25704772491008,0.00012354995124042034,0.33138505602255464,0.013032293878495693,5.6143443188630044,587.8984375,182.3899536335129,0.00830078125,True,False
S-DES,1024,1,1024,0.06549860211089253,0.012748755048960447,5.244935096008703,0.00013686600141227245,0.3357429669704288,0.013058451935648918,5.606622135965154,587.8984375,182.64116524480622,0.00830078125,True,False
S-DES,1024,2,1024,0.06521848984993994,0.012702632928267121,5.263457493856549,0.00011998298577964306,0.3242916199378669,0.012855219189077616,5.613426948897541,587.8984375,182.41976057087737,0.00830078125,True,False
S-DES,2048,0,2048,0.06369404098950326,0.025412518065422773,10.500869438052177,0.0002338190097361803,1.148959857877344,0.026749427895992994,11.702225060900673,588.0,175.0094524196729,0.00836181640625,True,False
S-DES,2048,1,2048,0.07127529312856495,0.030072167981415987,10.588630659971386,0.0001765561755746603,1.1148288019467145,0.026594811119139194,11.76030299719423,588.0,174.14517300180202,0.00836181640625,True,False
S-DES,2048,2,2048,0.06454516807571054,0.02616306208074093,10.61550236796029,0.00017005088739097118,1.1411307929083705,0.025560708018019795,11.808526981854811,588.0,173.4339941930939,0.00836181640625,True,False
DES,128,0,144,0.06433092011138797,0.0001807010266929865,0.7436155749019235,8.47838819026947e-05,0.018825882114470005,6.461888551712036e-05,0.7627715608105063,588.0,167.80908803677693,0.035590277777777776,False,False
DES,128,1,144,0.06416366202756763,0.0001305870246142149,0.7424633069895208,8.585001341998577e-05,0.018908960977569222,6.469408981502056e-05,0.7616533990949392,588.0,168.05544379123154,0.03298611111111111,False,False
DES,128,2,144,0.06451990315690637,0.00013404595665633678,0.7440439760684967,8.198386058211327e-05,0.018834159011021256,9.65918879956007e-05,0.763190756784752,588.0,167.7169159375717,0.034722222222222224,False,False
DES,256,0,272,0.06441418104805052,0.00013553001917898655,1.3994138529524207,9.005586616694927e-05,0.04427394294179976,6.63811806589365e-05,1.4439797629602253,588.0,177.28780317196978,0.02849264705882353,False,False
DES,256,1,272,0.0641737321857363,0.00013663293793797493,1.4088444418739527,8.748006075620651e-05,0.04371768212877214,7.553794421255589e-05,1.4528617749456316,588.0,176.20396132287252,0.03354779411764706,False,False
DES,256,2,272,0.06420842604711652,0.00018660095520317554,1.4077448449097574,8.788704872131348e-05,0.041548029985278845,7.48499296605587e-05,1.4496422128286213,588.0,176.59529898793357,0.030330882352941176,False,False
DES,512,0,528,0.06396431708708405,0.00018089613877236843,2.7242218130268157,0.00010016211308538914,0.1119276478420943,7.248809561133385e-05,2.836503007216379,588.0,180.50395106136503,0.029829545454545456,False,False
DES,512,1,528,0.06416865810751915,0.00014759507030248642,2.7012240858748555,0.00010384595952928066,0.11233319598250091,7.219589315354824e-05,2.8138809187803417,588.0,181.9551056986175,0.035748106060606064,False,False
DES,512,2,528,0.0642523739952594,0.00014466303400695324,2.724535236833617,0.00010285992175340652,0.11139248288236558,7.922202348709106e-05,2.83625446469523,588.0,180.51976872075792,0.033854166666666664,False,False
DES,1024,0,1040,0.06599981687031686,0.0001799489837139845,5.331640168093145,0.0001289749052375555,0.3277543631847948,0.00012183305807411671,5.659825288224965,588.0,180.9243126515566,0.03617788461538462,False,False
DES,1024,1,1040,0.06429820111952722,0.00018587405793368816,5.341381918173283,0.00012441701255738735,0.3283168110065162,0.00011321599595248699,5.670122236246243,588.0,180.59575390704674,0.03245192307692308,False,False
DES,1024,2,1040,0.06406169384717941,0.00018816604278981686,5.320833932841197,0.00012570410035550594,0.3277793808374554,8.66488553583622e-05,5.649013832677156,588.0,181.27057754339228,0.03617788461538462,False,False
DES,2048,0,2064,0.0640585848595947,0.00019651884213089943,10.649982366943732,0.00016465014778077602,1.1085264110006392,9.313784539699554e-05,11.75896308477968,588.0,174.1650165269119,0.03143168604651163,True,False
