,encryption_s,encryption_s,encoding_s,encoding_s,network_build_s,network_build_s,snn_simulation_s,snn_simulation_s,spike_readout_s,spike_readout_s,decoding_s,decoding_s,decryption_s,decryption_s,online_total_without_build_s,online_total_without_build_s,online_total_with_build_s,online_total_with_build_s,peak_process_rss_mb,peak_process_rss_mb
,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
algorithm,,,,,,,,,,,,,,,,,,,,
AES,0.0001495616277679801,2.7497629874452015e-05,0.0001976989209651947,2.6048744502114667e-05,0.06472114219795913,0.0012979689431618672,0.6574761105235666,0.0033548223224234785,8.153468370437622e-05,2.118861944987348e-06,0.015729432995431124,0.0003922725055927683,6.182568613439798e-05,1.0210289391113245e-05,0.6736961644375696,0.003384437821903619,0.7384173066355288,0.0036472113974506948,587.890625,0.0
ChaCha20,0.00014863661490380765,2.2520271812423997e-05,0.000188245577737689,2.260612365102525e-05,0.06540653598494828,0.0014743604221786146,0.6022575297858566,0.0038288840584116686,8.586978074163199e-05,1.4969691959649097e-05,0.014379790308885277,0.000781454534748374,4.181128460913897e-05,9.194780776072314e-06,0.6171018833527342,0.004208046170744372,0.6825084193376825,0.004581116938317629,587.890625,0.0
DES,0.0001768547808751464,3.7358020535747985e-05,0.00019742469303309917,2.9095658379820715e-05,0.06467121478635818,0.0005856087442689512,0.6175534971989691,0.006406552133670447,8.694983553141356e-05,1.0045183447675132e-05,0.014477268373593689,0.000339250385773709,7.679706905037165e-05,1.1720817705968034e-05,0.6325687919510529,0.006429292602656039,0.697240006737411,0.006667339276204066,587.890625,0.0
ECIES,0.0018426939146593212,3.7812271960696804e-05,0.00029299838934093714,2.7776200968018322e-05,0.06523831482045353,0.0010323477252648055,1.012566956039518,0.006002585274643265,8.42284644022584e-05,2.7572181515515425e-06,0.027297105477191507,0.0007843287618185162,0.0013676239177584648,3.621336986152798e-05,1.0434516062028707,0.006083522602650333,1.108689921023324,0.006810794899416434,587.890625,0.0
RSA,0.0006445042556151748,4.372311121963832e-05,0.000362494820728898,1.6708766175991327e-05,0.06484081440139562,0.0015629519484543703,1.307827625866048,0.008267992106218204,8.981742430478335e-05,2.414686999334616e-06,0.03982389376033098,0.0015253796942497073,0.0014204498147591949,6.114148934392644e-05,1.350168785941787,0.00790783329351313,1.4150096003431827,0.008883437505262215,587.890625,0.0
S-DES,0.001290053268894553,2.333257439098606e-05,0.00017533071804791688,3.555907070658373e-05,0.06527001380454749,0.001841724628001256,0.5403096690308302,0.0035074223148725326,8.543236181139946e-05,1.1502015755823305e-05,0.012471385160461068,0.0003611071515025528,0.0014235476264730096,0.00015906845924706876,0.5557554181665182,0.003896444728215655,0.6210254319710657,0.004127962058610579,587.890625,0.0
