algorithm,teacher_weight,n_trials,ber_mean,ber_std,ber_median,ber_q25,ber_q75,ber_ci95_low,ber_ci95_high,bit_errors_mean,bit_errors_std,bit_errors_median,bit_errors_q25,bit_errors_q75,bit_errors_ci95_low,bit_errors_ci95_high,ciphertext_byte_accuracy_mean,ciphertext_byte_accuracy_std,ciphertext_byte_accuracy_median,ciphertext_byte_accuracy_q25,ciphertext_byte_accuracy_q75,ciphertext_byte_accuracy_ci95_low,ciphertext_byte_accuracy_ci95_high,exact_ciphertext_recovery_mean,exact_ciphertext_recovery_std,exact_ciphertext_recovery_median,exact_ciphertext_recovery_q25,exact_ciphertext_recovery_q75,exact_ciphertext_recovery_ci95_low,exact_ciphertext_recovery_ci95_high,exact_ciphertext_recovery_wilson95_low,exact_ciphertext_recovery_wilson95_high,decryption_success_mean,decryption_success_std,decryption_success_median,decryption_success_q25,decryption_success_q75,decryption_success_ci95_low,decryption_success_ci95_high,decryption_success_wilson95_low,decryption_success_wilson95_high,exact_plaintext_recovery_mean,exact_plaintext_recovery_std,exact_plaintext_recovery_median,exact_plaintext_recovery_q25,exact_plaintext_recovery_q75,exact_plaintext_recovery_ci95_low,exact_plaintext_recovery_ci95_high,exact_plaintext_recovery_wilson95_low,exact_plaintext_recovery_wilson95_high,decoder_tie_fraction_mean,decoder_tie_fraction_std,decoder_tie_fraction_median,decoder_tie_fraction_q25,decoder_tie_fraction_q75,decoder_tie_fraction_ci95_low,decoder_tie_fraction_ci95_high,victor_purpura_mean_mean,victor_purpura_mean_std,victor_purpura_mean_median,victor_purpura_mean_q25,victor_purpura_mean_q75,victor_purpura_mean_ci95_low,victor_purpura_mean_ci95_high,van_rossum_mean_mean,van_rossum_mean_std,van_rossum_mean_median,van_rossum_mean_q25,van_rossum_mean_q75,van_rossum_mean_ci95_low,van_rossum_mean_ci95_high,simulation_wall_s_mean,simulation_wall_s_std,simulation_wall_s_median,simulation_wall_s_q25,simulation_wall_s_q75,simulation_wall_s_ci95_low,simulation_wall_s_ci95_high,plaintext_byte_accuracy_mean,plaintext_byte_accuracy_std,plaintext_byte_accuracy_median,plaintext_byte_accuracy_q25,plaintext_byte_accuracy_q75,plaintext_byte_accuracy_ci95_low,plaintext_byte_accuracy_ci95_high
RSA,0.0,10,0.026611328125,0.0024168688810087074,0.02734375,0.02490234375,0.0283203125,0.025146484375,0.02802734375,54.5,4.949747468305833,56.0,51.0,58.0,51.5,57.1,0.8015625,0.014823176532039278,0.796875,0.7939453125,0.8095703125,0.793359375,0.8109375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2775327998628892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2775327998628892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2775327998628892,0.054833984375,0.0026550409894079223,0.0556640625,0.0535888671875,0.0565185546875,0.05322265625,0.05625,184.93243749999993,0.5248116767060077,185.14218749999998,184.48734374999992,185.28062499999987,184.6029953124999,185.2414578125,10.132257237344447,0.02275150835203575,10.143616613813382,10.113286302556055,10.148162602679276,10.118485948892285,10.145244058993002,1.3088550466578455,0.007160080512224247,1.3093004294205457,1.3040151766035706,1.3125204998650588,1.3047908036113949,1.31310130568163,,,,,,,
RSA,300.0,10,0.033544921875,0.001561991290886729,0.03369140625,0.0323486328125,0.0345458984375,0.032568359375,0.03447265625,68.7,3.198958163736021,69.0,66.25,70.75,66.7975,70.5,0.76015625,0.013556682380021218,0.759765625,0.7509765625,0.76953125,0.751953125,0.767978515625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2775327998628892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2775327998628892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2775327998628892,0.07412109375,0.0018385444331305908,0.074462890625,0.072998046875,0.07568359375,0.072998046875,0.07509765625,197.49324999999993,0.29879427844808626,197.47093749999988,197.3225,197.5748437499999,197.32102187499999,197.67209531249992,10.647531897171003,0.011867070040860546,10.646802850859368,10.640215615577098,10.650107912156251,10.640905368358466,10.654719084986462,1.3063079800689592,0.00881768566515091,1.3068431770661846,1.301339345111046,1.3119734145584516,1.3009083428286248,1.3113574517011874,,,,,,,
RSA,600.0,10,0.012939453125,0.0018593196059238058,0.01318359375,0.0113525390625,0.0145263671875,0.011864013671875003,0.014013671875,26.5,3.8078865529319543,27.0,23.25,29.75,24.297500000000007,28.8,0.900390625,0.01498810473075695,0.900390625,0.890625,0.912109375,0.89140625,0.908984375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2775327998628892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2775327998628892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2775327998628892,0.029248046875,0.0029065383166518494,0.029541015625,0.0272216796875,0.03173828125,0.027489013671875,0.03095703125,200.4008125,0.4990905835519708,200.339375,200.24171875,200.69140624999994,200.10750000000002,200.70107187500003,10.848266862445149,0.019628397659519722,10.847886276605482,10.83968129489751,10.860218322689134,10.836464874112753,10.859881714687837,1.2995032309787349,0.006270044444356058,1.2982256308896467,1.297163478739094,1.2995109666953795,1.2961261898383962,1.3035923000035108,,,,,,,
RSA,900.0,10,0.01533203125,0.002523573885848217,0.014892578125,0.013671875,0.0177001953125,0.0138671875,0.016748046875,31.4,5.168279318217149,30.5,28.0,36.25,28.5,34.5,0.881640625,0.018873472217878398,0.884765625,0.865234375,0.8935546875,0.870703125,0.89296875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2775327998628892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2775327998628892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2775327998628892,0.02333984375,0.003931935949004593,0.0234375,0.0201416015625,0.0247802734375,0.021142578125,0.02558715820312499,204.44812500000003,0.5668343808184502,204.299375,204.13171874999992,204.70343750000006,204.12828281250006,204.78131250000004,11.11121821616684,0.02607979434793296,11.10527264179832,11.097702673056322,11.11873857071549,11.096432586696215,11.127124623295684,1.3098622585413977,0.005408464187183352,1.3100490169599652,1.3062635597307235,1.3136121302377433,1.3066879268625053,1.313097000499256,,,,,,,
RSA,1200.0,10,0.0349609375,0.0022458578529505648,0.03466796875,0.0338134765625,0.0369873046875,0.03359375,0.03623046875,71.6,4.599516882842757,71.0,69.25,75.75,68.8,74.2,0.76328125,0.014405538214520137,0.763671875,0.75,0.76953125,0.7546875,0.771875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2775327998628892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2775327998628892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2775327998628892,0.0689453125,0.0029006079960866493,0.069091796875,0.06640625,0.0716552734375,0.067236328125,0.070654296875,212.39124999999984,0.45310684829539266,212.5459374999999,212.07765624999996,212.7360937499998,212.13099843749993,212.64931718749986,11.42760309974636,0.02136911734566977,11.428592215058654,11.41364293806535,11.441784697450553,11.414726943966482,11.439785041361233,1.307350110495463,0.004648014252844456,1.3075594825204462,1.3051471067592502,1.310250591894146,1.3045818978216266,1.3099054952373264,,,,,,,
S-DES,0.0,10,0.006309523809523809,0.002317270050897847,0.006547619047619047,0.00505952380952381,0.007142857142857143,0.005,0.00761904761904762,5.3,1.9465068427541912,5.5,4.25,6.0,4.2,6.5,0.9495238095238095,0.01853816040718275,0.9476190476190476,0.9428571428571428,0.9595238095238096,0.9390476190476191,0.9609523809523809,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2775327998628892,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.7224672001371107,0.9999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2775327998628892,0.013452380952380952,0.0022482881705103643,0.01369047619047619,0.012202380952380952,0.015178571428571428,0.012023809523809525,0.014761904761904759,72.3144375,0.25090451820750365,72.26406250000002,72.13109375,72.43703124999999,72.17473593749999,72.465009375,6.242542456924038,0.01775811986994187,6.238661256667923,6.23043623230178,6.24902300014153,6.233129273832162,6.253946062715154,0.538629878219217,0.006296747677248398,0.5380403725430369,0.5329770899843425,0.5441810415359214,0.5349913298874163,0.5423544992832466,0.9495238095238095,0.01853816040718275,0.9476190476190476,0.9428571428571428,0.9595238095238096,0.9390238095238096,0.96
S-DES,300.0,10,0.02845238095238095,0.0033413546722255378,0.027976190476190474,0.02738095238095238,0.02976190476190476,0.02654761904761905,0.030476190476190473,23.9,2.8067379246694513,23.5,23.0,25.0,22.297500000000007,25.6,0.8028571428571428,0.025017001022026086,0.8,0.7904761904761904,0.8238095238095238,0.7885714285714286,0.8171428571428571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2775327998628892,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.7224672001371107,0.9999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2775327998628892,0.05702380952380952,0.004025382429497065,0.05714285714285714,0.05505952380952381,0.05803571428571429,0.054761904761904755,0.059404761904761905,77.16493749999997,0.32142105935335213,77.14187499999997,76.89703124999998,77.31687499999995,76.98280937499996,77.35250156249995,6.497713041276282,0.01911274070883707,6.493210006273454,6.485489230665513,6.505577219632787,6.486953110294006,6.508757445072277,0.5345946131972596,0.003795765118570388,0.5349517540307716,0.5325591750442982,0.5360207393532619,0.5324230184557383,0.5369524202018511,0.8028571428571428,0.025017001022026086,0.8,0.7904761904761904,0.8238095238095238,0.7876190476190476,0.8171428571428571
S-DES,600.0,10,0.012023809523809523,0.00425362768122591,0.011904761904761904,0.008928571428571428,0.014880952380952382,0.009523809523809523,0.014642857142857141,10.1,3.573047252229764,10.0,7.5,12.5,8.1,12.102499999999987,0.9085714285714287,0.03149103940987234,0.9142857142857143,0.8809523809523809,0.930952380952381,0.8904761904761905,0.9276190476190477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2775327998628892,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.7224672001371107,0.9999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2775327998628892,0.0325,0.005021056694567185,0.03273809523809524,0.028869047619047617,0.035416666666666666,0.029642857142857144,0.03559523809523809,78.03768749999998,0.43823421031484444,77.93374999999997,77.79624999999999,78.26968749999995,77.79912499999999,78.30062656249999,6.562948455525955,0.02700771851207343,6.557021142197808,6.547438324754745,6.576646660504934,6.5480696670347385,6.579631392395239,0.5373149478575214,0.005257251633918017,0.5358871009666473,0.5336372287129052,0.5418542923871428,0.5341018540901132,0.5404852084087907,0.9085714285714287,0.03149103940987234,0.9142857142857143,0.8809523809523809,0.930952380952381,0.8904761904761905,0.9257142857142858
S-DES,900.0,10,0.015000000000000003,0.0027607185922104904,0.014285714285714285,0.013095238095238096,0.016666666666666666,0.013452380952380955,0.01666666666666667,12.6,2.3190036174568114,12.0,11.0,14.0,11.3,14.0,0.8914285714285715,0.017503553970908206,0.8952380952380953,0.8785714285714286,0.9047619047619048,0.880952380952381,0.900952380952381,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2775327998628892,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.7224672001371107,0.9999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2775327998628892,0.023095238095238092,0.004015590679578894,0.02261904761904762,0.020535714285714286,0.025892857142857145,0.020714285714285716,0.025476190476190475,79.73237499999998,0.447827781878501,79.78499999999997,79.45921874999998,79.85718749999998,79.48267812499998,80.011871875,6.6846346400017325,0.02745237272863234,6.690739339587178,6.662640166283406,6.697173995353841,6.668428347995086,6.701006438136642,0.5347293963422999,0.003968392786941001,0.534683327539824,0.5318083276506513,0.5365194649202749,0.5325832648959477,0.5370594866509782,0.8914285714285715,0.017503553970908206,0.8952380952380953,0.8785714285714286,0.9047619047619048,0.880952380952381,0.900952380952381
S-DES,1200.0,10,0.022619047619047622,0.0036800073394824217,0.023214285714285715,0.020535714285714286,0.025595238095238095,0.02035714285714286,0.02476190476190476,19.0,3.0912061651652345,19.5,17.25,21.5,17.1,20.8,0.836190476190476,0.02760262237369416,0.8333333333333333,0.819047619047619,0.8452380952380952,0.8209523809523809,0.8523809523809526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2775327998628892,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.7224672001371107,0.9999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2775327998628892,0.031071428571428573,0.004064313533037894,0.030952380952380953,0.028869047619047617,0.033630952380952386,0.028690476190476193,0.03357142857142857,81.63943750000001,0.2520983897018729,81.62374999999999,81.49359375,81.70265625000003,81.5115625,81.79348593750001,6.795475171537942,0.018642950225447055,6.795481464741092,6.785441072360221,6.802357083654109,6.784868396731584,6.806913032390098,0.536764454166405,0.004768523647317399,0.5360673809191212,0.5336914093932137,0.5368678118684329,0.534111003135913,0.5397982667764882,0.836190476190476,0.02760262237369416,0.8333333333333333,0.819047619047619,0.8452380952380952,0.8209523809523809,0.8523809523809526
