generation,best_fitness,mean_fitness,mean_ber,best_ber,mean_tie,sigma
0,0.061562500000000006,0.22759374999999998,0.12953125000000001,0.00625,0.14390625,0.2
1,0.08437499999999999,0.28619531249999997,0.18359374999999997,0.01953125,0.2053125,0.17113594840119073
2,0.06250000000000001,0.25341796875,0.135078125,0.00625,0.25078125,0.15029646904221688
3,0.0,0.10151953124999999,0.042109375000000004,0.0,0.04390625,0.12388951428559707
4,0.0,0.10548828125000001,0.04421875,0.0,0.090390625,0.13752510964693423
5,0.0,0.1046484375,0.046171874999999994,0.0,0.090078125,0.14378864743553862
6,0.0,0.18013671874999998,0.0996875,0.0,0.134765625,0.13935630002946178
7,0.0,0.1072265625,0.041249999999999995,0.0,0.08421875000000001,0.11066634992803731
8,0.0,0.12196875,0.0546875,0.0,0.09281249999999999,0.09518722609222285
9,0.0,0.032785156249999996,0.008984375,0.0,0.026718749999999996,0.0889453012269184
10,0.0,0.0397421875,0.009765625,0.0,0.021796875,0.07831392011783245
11,0.0,0.009984375,0.001171875,0.0,0.002109375,0.06590635517292406
