algorithm,experiment,condition,trial,network_seed,parameter_source,noise_type,noise_rate_hz,teacher_weight,ciphertext_bytes,simulation_wall_s,decoder_tie_fraction,victor_purpura_mean,van_rossum_mean,bit_errors,ber,ciphertext_byte_accuracy,exact_ciphertext_recovery,decryption_success,exact_plaintext_recovery,plaintext_byte_accuracy,noise_seed
S-DES,teaching_weight_sweep,teacher_assisted_then_off,3,344794737,ES+teacher training,poisson_excitatory,10.0,1200.0,105,0.543929958017543,0.036904761904761905,81.47437500000001,6.783214470819049,22,0.02619047619047619,0.8,False,True,False,0.8,2025620573
S-DES,teaching_weight_sweep,teacher_assisted_then_off,4,183088143,ES+teacher training,poisson_excitatory,10.0,0.0,105,0.5318353038746864,0.015476190476190477,72.08187499999998,6.230043034968775,8,0.009523809523809525,0.9238095238095239,False,True,False,0.9238095238095239,921467076
S-DES,teaching_weight_sweep,teacher_assisted_then_off,4,183088143,ES+teacher training,poisson_excitatory,10.0,300.0,105,0.5423143559601158,0.05714285714285714,76.72687499999994,6.469582252626095,23,0.02738095238095238,0.8285714285714285,False,True,False,0.8285714285714285,921467076
S-DES,teaching_weight_sweep,teacher_assisted_then_off,4,183088143,ES+teacher training,poisson_excitatory,10.0,600.0,105,0.534480761969462,0.036904761904761905,77.96312499999999,6.558913409294009,14,0.016666666666666666,0.8761904761904762,False,True,False,0.8761904761904762,921467076
S-DES,teaching_weight_sweep,teacher_assisted_then_off,4,183088143,ES+teacher training,poisson_excitatory,10.0,900.0,105,0.5368302022106946,0.02976190476190476,79.81312499999999,6.695242325430919,16,0.01904761904761905,0.8571428571428572,False,True,False,0.8571428571428572,921467076
S-DES,teaching_weight_sweep,teacher_assisted_then_off,4,183088143,ES+teacher training,poisson_excitatory,10.0,1200.0,105,0.5359065840020776,0.036904761904761905,81.71187500000003,6.802904758066782,22,0.02619047619047619,0.819047619047619,False,True,False,0.819047619047619,921467076
S-DES,teaching_weight_sweep,teacher_assisted_then_off,5,2112783261,ES+teacher training,poisson_excitatory,10.0,0.0,105,0.5339434409979731,0.011904761904761904,72.31437500000001,6.241586415507369,4,0.004761904761904762,0.9619047619047619,False,True,False,0.9619047619047619,325576895
S-DES,teaching_weight_sweep,teacher_assisted_then_off,5,2112783261,ES+teacher training,poisson_excitatory,10.0,300.0,105,0.5347028260584921,0.05,76.99312499999996,6.492481701922184,20,0.023809523809523808,0.8285714285714285,False,True,False,0.8285714285714285,325576895
S-DES,teaching_weight_sweep,teacher_assisted_then_off,5,2112783261,ES+teacher training,poisson_excitatory,10.0,600.0,105,0.5328415299300104,0.030952380952380953,77.79375,6.552631973182123,9,0.010714285714285714,0.9238095238095239,False,True,False,0.9238095238095239,325576895
S-DES,teaching_weight_sweep,teacher_assisted_then_off,5,2112783261,ES+teacher training,poisson_excitatory,10.0,900.0,105,0.531000770162791,0.016666666666666666,79.486875,6.667526854060843,11,0.013095238095238096,0.9047619047619048,False,True,False,0.9047619047619048,325576895
S-DES,teaching_weight_sweep,teacher_assisted_then_off,5,2112783261,ES+teacher training,poisson_excitatory,10.0,1200.0,105,0.5327083179727197,0.02857142857142857,81.41624999999999,6.777104119325221,19,0.02261904761904762,0.8380952380952381,False,True,False,0.8380952380952381,325576895
S-DES,teaching_weight_sweep,teacher_assisted_then_off,6,1692914418,ES+teacher training,poisson_excitatory,10.0,0.0,105,0.5430642839055508,0.010714285714285714,72.47125,6.25150186168625,6,0.007142857142857143,0.9428571428571428,False,True,False,0.9428571428571428,646602482
S-DES,teaching_weight_sweep,teacher_assisted_then_off,6,1692914418,ES+teacher training,poisson_excitatory,10.0,300.0,105,0.5290989438071847,0.05714285714285714,77.18812499999993,6.493938310624725,25,0.02976190476190476,0.7904761904761904,False,True,False,0.7904761904761904,646602482
