algorithm,noise_type,noise_rate_hz,n_paired_units,baseline_ber_mean,noise_ber_mean,mean_delta_ber,median_delta_ber,wilcoxon_statistic,p_value,p_holm,significant_holm_0_05
AES,poisson_excitatory,5.0,24,0.023193359375,0.020711263020833332,-0.0024820963541666665,-0.0029296875,28.5,0.0008062341668495048,0.005643639167946533,True
AES,poisson_excitatory,10.0,24,0.023193359375,0.018513997395833332,-0.004679361979166667,-0.00439453125,1.5,3.228901736249377e-05,0.0003228901736249377,True
AES,poisson_excitatory,25.0,24,0.023193359375,0.024007161458333332,0.0008138020833333334,0.0009765625,87.5,0.3288347422660186,0.6576694845320372,False
AES,poisson_excitatory,50.0,24,0.023193359375,0.057373046875,0.0341796875,0.0322265625,0.0,1.7877382743315704e-05,0.00026552327833288954,True
AES,poisson_excitatory,100.0,24,0.023193359375,0.14774576822916666,0.12455240885416667,0.125,0.0,1.812588280620125e-05,0.00026552327833288954,True
AES,poisson_inhibitory,5.0,24,0.023193359375,0.022054036458333332,-0.0011393229166666667,-0.0009765625,53.0,0.015959689926694415,0.047879069780083244,True
AES,poisson_inhibitory,10.0,24,0.023193359375,0.021728515625,-0.00146484375,-0.001953125,43.0,0.011173338103261984,0.044693352413047935,True
AES,poisson_inhibitory,25.0,24,0.023193359375,0.023111979166666668,-8.138020833333333e-05,-0.00048828125,115.0,0.9860891677828639,0.9860891677828639,False
AES,poisson_inhibitory,50.0,24,0.023193359375,0.031575520833333336,0.008382161458333334,0.0078125,0.0,1.77015518888593e-05,0.00026552327833288954,True
AES,poisson_inhibitory,100.0,24,0.023193359375,0.11678059895833333,0.09358723958333333,0.09375,0.0,1.798354792980129e-05,0.00026552327833288954,True
AES,poisson_mixed,5.0,24,0.023193359375,0.021443684895833332,-0.0017496744791666667,-0.001953125,49.5,0.006832659282682963,0.03416329641341481,True
AES,poisson_mixed,10.0,24,0.023193359375,0.0191650390625,-0.0040283203125,-0.00390625,14.0,9.801045341867182e-05,0.0007840836273493746,True
AES,poisson_mixed,25.0,24,0.023193359375,0.019246419270833332,-0.003946940104166667,-0.00390625,10.5,6.43874918250016e-05,0.0005794874264250144,True
AES,poisson_mixed,50.0,24,0.023193359375,0.020711263020833332,-0.0024820963541666665,-0.0029296875,33.5,0.004281978658648075,0.025691871951888448,True
AES,poisson_mixed,100.0,24,0.023193359375,0.028971354166666668,0.005777994791666667,0.00537109375,0.0,1.7719072649544354e-05,0.00026552327833288954,True
ChaCha20,poisson_excitatory,5.0,24,0.02751068376068376,0.022881054131054134,-0.00462962962962963,-0.004273504273504276,0.0,1.775415566607832e-05,0.00025645465679166227,True
ChaCha20,poisson_excitatory,10.0,24,0.02751068376068376,0.01954237891737892,-0.007968304843304843,-0.00747863247863248,0.0,2.6243481276934324e-05,0.00025645465679166227,True
ChaCha20,poisson_excitatory,25.0,24,0.02751068376068376,0.023192663817663817,-0.004318019943019944,-0.005341880341880342,32.0,0.0012486285558813833,0.0024972571117627667,True
ChaCha20,poisson_excitatory,50.0,24,0.02751068376068376,0.05511039886039887,0.027599715099715105,0.02938034188034188,0.0,1.814373762485085e-05,0.00025645465679166227,True
ChaCha20,poisson_excitatory,100.0,24,0.02751068376068376,0.150462962962963,0.1229522792022792,0.12232905982905984,0.0,1.812588280620125e-05,0.00025645465679166227,True
ChaCha20,poisson_inhibitory,5.0,24,0.02751068376068376,0.02488425925925926,-0.0026264245014245013,-0.002136752136752136,2.5,3.102881177061047e-05,0.00025645465679166227,True
ChaCha20,poisson_inhibitory,10.0,24,0.02751068376068376,0.023904914529914528,-0.0036057692307692305,-0.003205128205128206,0.0,2.524076954726539e-05,0.00025645465679166227,True
ChaCha20,poisson_inhibitory,25.0,24,0.02751068376068376,0.02506232193732194,-0.002448361823361823,-0.002136752136752136,11.5,0.00028261987156618263,0.0011304794862647305,True
ChaCha20,poisson_inhibitory,50.0,24,0.02751068376068376,0.03147257834757835,0.003961894586894586,0.004273504273504272,25.5,0.0003695010690736906,0.0011304794862647305,True
ChaCha20,poisson_inhibitory,100.0,24,0.02751068376068376,0.11618589743589743,0.0886752136752137,0.08920940170940171,0.0,1.809021518874531e-05,0.00025645465679166227,True
ChaCha20,poisson_mixed,5.0,24,0.02751068376068376,0.02381588319088319,-0.0036948005698005707,-0.0032051282051282076,0.0,1.709697711944415e-05,0.00025645465679166227,True
ChaCha20,poisson_mixed,10.0,24,0.02751068376068376,0.021233974358974363,-0.006276709401709403,-0.006410256410256408,0.0,1.794810383208005e-05,0.00025645465679166227,True
ChaCha20,poisson_mixed,25.0,24,0.02751068376068376,0.01936431623931624,-0.00814636752136752,-0.008547008547008548,0.0,1.77015518888593e-05,0.00025645465679166227,True
ChaCha20,poisson_mixed,50.0,24,0.02751068376068376,0.019720441595441594,-0.007790242165242164,-0.008012820512820512,0.0,2.6756492477218083e-05,0.00025645465679166227,True
ChaCha20,poisson_mixed,100.0,24,0.02751068376068376,0.02853454415954416,0.0010238603988603986,0.0016025641025641003,114.5,0.47437916085680143,0.47437916085680143,False
DES,poisson_excitatory,5.0,24,0.01171875,0.013020833333333334,0.0013020833333333333,0.0010416666666666673,45.0,0.013824976133542938,0.027649952267085876,True
DES,poisson_excitatory,10.0,24,0.01171875,0.014930555555555556,0.003211805555555556,0.003125,7.5,0.000170441802925539,0.000681767211702156,True
DES,poisson_excitatory,25.0,24,0.01171875,0.025347222222222226,0.013628472222222222,0.011979166666666667,0.0,1.7912715457470545e-05,0.0002665757690631366,True
DES,poisson_excitatory,50.0,24,0.01171875,0.05633680555555556,0.04461805555555556,0.04479166666666666,0.0,1.812588280620125e-05,0.0002665757690631366,True
DES,poisson_excitatory,100.0,24,0.01171875,0.1482638888888889,0.1365451388888889,0.13541666666666669,0.0,1.8072402374229977e-05,0.0002665757690631366,True
DES,poisson_inhibitory,5.0,24,0.01171875,0.014583333333333332,0.0028645833333333336,0.0020833333333333346,0.0,5.7604946928675804e-05,0.00034562968157205484,True
DES,poisson_inhibitory,10.0,24,0.01171875,0.01579861111111111,0.004079861111111111,0.004166666666666666,0.0,3.8391641545175015e-05,0.0002687414908162251,True
DES,poisson_inhibitory,25.0,24,0.01171875,0.01875,0.00703125,0.007291666666666665,0.0,1.777171793754244e-05,0.0002665757690631366,True
DES,poisson_inhibitory,50.0,24,0.01171875,0.02634548611111111,0.014626736111111113,0.014583333333333334,0.0,1.796581891163422e-05,0.0002665757690631366,True
DES,poisson_inhibitory,100.0,24,0.01171875,0.11228298611111111,0.10056423611111111,0.10208333333333333,0.0,1.812588280620125e-05,0.0002665757690631366,True
DES,poisson_mixed,5.0,24,0.01171875,0.012630208333333332,0.0009114583333333332,0.0010416666666666664,47.0,0.05131190843758202,0.05131190843758202,False
DES,poisson_mixed,10.0,24,0.01171875,0.014843749999999998,0.0031249999999999997,0.0031249999999999993,6.0,8.7838524122738e-05,0.00043919262061369003,True
DES,poisson_mixed,25.0,24,0.01171875,0.016276041666666668,0.004557291666666667,0.0046875,8.0,0.0001839321372914325,0.000681767211702156,True
DES,poisson_mixed,50.0,24,0.01171875,0.02065972222222222,0.008940972222222223,0.008854166666666666,0.0,1.809021518874531e-05,0.0002665757690631366,True
