algorithm,experiment,condition,trial,network_seed,parameter_source,noise_type,noise_rate_hz,teacher_weight,ciphertext_bytes,simulation_wall_s,decoder_tie_fraction,victor_purpura_mean,van_rossum_mean,bit_errors,ber,ciphertext_byte_accuracy,exact_ciphertext_recovery,decryption_success,exact_plaintext_recovery,plaintext_byte_accuracy,unit_id,model_trial,payload_id,noise_replicate,noise_seed,plaintext_bytes,noise_exc_weight,noise_inh_weight,noise_weight_fraction_of_l1_l2
S-DES,full_noise_campaign,es_stdp_teacher_off,0,205402916,ES+STDP teacher-free,none,0.0,0.0,105,0.5495747341774404,0.009523809523809525,71.57437499999995,6.166442498036604,1,0.0011904761904761906,0.9904761904761905,False,True,False,0.9904761904761905,S-DES|m0|p0|r0,0,0,0,190784071,105,145.61801952063576,-145.61801952063576,0.1
S-DES,full_noise_campaign,es_stdp_teacher_off,0,205402916,ES+STDP teacher-free,poisson_excitatory,5.0,0.0,105,0.533888045931235,0.011904761904761904,71.62499999999996,6.182050654407872,2,0.002380952380952381,0.9809523809523809,False,True,False,0.9809523809523809,S-DES|m0|p0|r0,0,0,0,278877910,105,145.61801952063576,-145.61801952063576,0.1
S-DES,full_noise_campaign,es_stdp_teacher_off,0,205402916,ES+STDP teacher-free,poisson_excitatory,10.0,0.0,105,0.5325551761779934,0.016666666666666666,72.39374999999995,6.236700059836177,4,0.004761904761904762,0.9619047619047619,False,True,False,0.9619047619047619,S-DES|m0|p0|r0,0,0,0,1714456944,105,145.61801952063576,-145.61801952063576,0.1
S-DES,full_noise_campaign,es_stdp_teacher_off,0,205402916,ES+STDP teacher-free,poisson_excitatory,25.0,0.0,105,0.5309651950374246,0.036904761904761905,75.16062499999997,6.429159199890092,13,0.015476190476190477,0.8761904761904762,False,True,False,0.8761904761904762,S-DES|m0|p0|r0,0,0,0,1917772909,105,145.61801952063576,-145.61801952063576,0.1
S-DES,full_noise_campaign,es_stdp_teacher_off,0,205402916,ES+STDP teacher-free,poisson_excitatory,50.0,0.0,105,0.54568823100999,0.08214285714285714,83.09749999999997,6.980733021748574,36,0.04285714285714286,0.7142857142857143,False,True,False,0.7142857142857143,S-DES|m0|p0|r0,0,0,0,1766989372,105,145.61801952063576,-145.61801952063576,0.1
S-DES,full_noise_campaign,es_stdp_teacher_off,0,205402916,ES+STDP teacher-free,poisson_excitatory,100.0,0.0,105,0.5381837720051408,0.18928571428571428,99.96312499999996,8.113393460255537,76,0.09047619047619047,0.5047619047619047,False,True,False,0.5047619047619047,S-DES|m0|p0|r0,0,0,0,704363219,105,145.61801952063576,-145.61801952063576,0.1
S-DES,full_noise_campaign,es_stdp_teacher_off,0,205402916,ES+STDP teacher-free,poisson_inhibitory,5.0,0.0,105,0.5422990778461099,0.007142857142857143,71.92562499999997,6.176944238850223,1,0.0011904761904761906,0.9904761904761905,False,True,False,0.9904761904761905,S-DES|m0|p0|r0,0,0,0,1316112746,105,145.61801952063576,-145.61801952063576,0.1
S-DES,full_noise_campaign,es_stdp_teacher_off,0,205402916,ES+STDP teacher-free,poisson_inhibitory,10.0,0.0,105,0.5374032368417829,0.009523809523809525,72.62374999999994,6.215577681279636,3,0.0035714285714285713,0.9714285714285714,False,True,False,0.9714285714285714,S-DES|m0|p0|r0,0,0,0,266905297,105,145.61801952063576,-145.61801952063576,0.1
S-DES,full_noise_campaign,es_stdp_teacher_off,0,205402916,ES+STDP teacher-free,poisson_inhibitory,25.0,0.0,105,0.5344341839663684,0.011904761904761904,73.863125,6.273643027017236,5,0.005952380952380952,0.9523809523809523,False,True,False,0.9523809523809523,S-DES|m0|p0|r0,0,0,0,462867404,105,145.61801952063576,-145.61801952063576,0.1
S-DES,full_noise_campaign,es_stdp_teacher_off,0,205402916,ES+STDP teacher-free,poisson_inhibitory,50.0,0.0,105,0.5353436409495771,0.02738095238095238,76.32437499999995,6.42073390558069,15,0.017857142857142856,0.8571428571428572,False,True,False,0.8571428571428572,S-DES|m0|p0|r0,0,0,0,9056795,105,145.61801952063576,-145.61801952063576,0.1
S-DES,full_noise_campaign,es_stdp_teacher_off,0,205402916,ES+STDP teacher-free,poisson_inhibitory,100.0,0.0,105,0.534621108090505,0.13333333333333333,80.35437499999999,6.766000327458761,78,0.09285714285714286,0.49523809523809526,False,True,False,0.49523809523809526,S-DES|m0|p0|r0,0,0,0,2124394643,105,145.61801952063576,-145.61801952063576,0.1
S-DES,full_noise_campaign,es_stdp_teacher_off,0,205402916,ES+STDP teacher-free,poisson_mixed,5.0,0.0,105,0.5351270290557295,0.009523809523809525,71.58499999999995,6.167011430416572,2,0.002380952380952381,0.9809523809523809,False,True,False,0.9809523809523809,S-DES|m0|p0|r0,0,0,0,1420034054,105,145.61801952063576,-145.61801952063576,0.1
S-DES,full_noise_campaign,es_stdp_teacher_off,0,205402916,ES+STDP teacher-free,poisson_mixed,10.0,0.0,105,0.5366342109628022,0.010714285714285714,72.17624999999998,6.205254767040499,3,0.0035714285714285713,0.9714285714285714,False,True,False,0.9714285714285714,S-DES|m0|p0|r0,0,0,0,680874395,105,145.61801952063576,-145.61801952063576,0.1
S-DES,full_noise_campaign,es_stdp_teacher_off,0,205402916,ES+STDP teacher-free,poisson_mixed,25.0,0.0,105,0.5336538129486144,0.013095238095238096,72.57062499999995,6.228215553088324,4,0.004761904761904762,0.9619047619047619,False,True,False,0.9619047619047619,S-DES|m0|p0|r0,0,0,0,1022049440,105,145.61801952063576,-145.61801952063576,0.1
S-DES,full_noise_campaign,es_stdp_teacher_off,0,205402916,ES+STDP teacher-free,poisson_mixed,50.0,0.0,105,0.536455905996263,0.017857142857142856,75.34562499999998,6.389473726535476,6,0.007142857142857143,0.9428571428571428,False,True,False,0.9428571428571428,S-DES|m0|p0|r0,0,0,0,670549585,105,145.61801952063576,-145.61801952063576,0.1
S-DES,full_noise_campaign,es_stdp_teacher_off,0,205402916,ES+STDP teacher-free,poisson_mixed,100.0,0.0,105,0.533257549861446,0.04642857142857143,78.14624999999998,6.589713333311011,16,0.01904761904761905,0.8571428571428572,False,True,False,0.8571428571428572,S-DES|m0|p0|r0,0,0,0,1720683283,105,145.61801952063576,-145.61801952063576,0.1
S-DES,full_noise_campaign,es_stdp_teacher_off,0,2067333786,ES+STDP teacher-free,none,0.0,0.0,105,0.5330994939431548,0.009523809523809525,71.57437499999995,6.166442498036604,1,0.0011904761904761906,0.9904761904761905,False,True,False,0.9904761904761905,S-DES|m0|p0|r1,0,0,1,1688029518,105,145.61801952063576,-145.61801952063576,0.1
S-DES,full_noise_campaign,es_stdp_teacher_off,0,2067333786,ES+STDP teacher-free,poisson_excitatory,5.0,0.0,105,0.540667604887858,0.005952380952380952,71.40624999999994,6.163779279899687,1,0.0011904761904761906,0.9904761904761905,False,True,False,0.9904761904761905,S-DES|m0|p0|r1,0,0,1,297415606,105,145.61801952063576,-145.61801952063576,0.1
S-DES,full_noise_campaign,es_stdp_teacher_off,0,2067333786,ES+STDP teacher-free,poisson_excitatory,10.0,0.0,105,0.5422151091042906,0.013095238095238096,71.91874999999996,6.204448398320276,4,0.004761904761904762,0.9619047619047619,False,True,False,0.9619047619047619,S-DES|m0|p0|r1,0,0,1,1136335219,105,145.61801952063576,-145.61801952063576,0.1
S-DES,full_noise_campaign,es_stdp_teacher_off,0,2067333786,ES+STDP teacher-free,poisson_excitatory,25.0,0.0,105,0.5339639210142195,0.036904761904761905,75.87687499999998,6.4756406895666885,12,0.014285714285714285,0.8952380952380953,False,True,False,0.8952380952380953,S-DES|m0|p0|r1,0,0,1,1472558200,105,145.61801952063576,-145.61801952063576,0.1
S-DES,full_noise_campaign,es_stdp_teacher_off,0,2067333786,ES+STDP teacher-free,poisson_excitatory,50.0,0.0,105,0.5333154718391597,0.08452380952380953,83.08062499999997,6.999691392798507,41,0.04880952380952381,0.6666666666666667,False,True,False,0.6666666666666667,S-DES|m0|p0|r1,0,0,1,1289326153,105,145.61801952063576,-145.61801952063576,0.1
S-DES,full_noise_campaign,es_stdp_teacher_off,0,2067333786,ES+STDP teacher-free,poisson_excitatory,100.0,0.0,105,0.5341305481269956,0.18571428571428572,100.14312499999997,8.13818549520991,71,0.08452380952380953,0.5523809523809524,False,True,False,0.5523809523809524,S-DES|m0|p0|r1,0,0,1,1323703401,105,145.61801952063576,-145.61801952063576,0.1
S-DES,full_noise_campaign,es_stdp_teacher_off,0,2067333786,ES+STDP teacher-free,poisson_inhibitory,5.0,0.0,105,0.5338573961053044,0.013095238095238096,72.02437499999996,6.1848467454848235,3,0.0035714285714285713,0.9714285714285714,False,True,False,0.9714285714285714,S-DES|m0|p0|r1,0,0,1,1331113026,105,145.61801952063576,-145.61801952063576,0.1
S-DES,full_noise_campaign,es_stdp_teacher_off,0,2067333786,ES+STDP teacher-free,poisson_inhibitory,10.0,0.0,105,0.5331799078267068,0.010714285714285714,72.45374999999994,6.197453345461631,2,0.002380952380952381,0.9809523809523809,False,True,False,0.9809523809523809,S-DES|m0|p0|r1,0,0,1,711145172,105,145.61801952063576,-145.61801952063576,0.1
S-DES,full_noise_campaign,es_stdp_teacher_off,0,2067333786,ES+STDP teacher-free,poisson_inhibitory,25.0,0.0,105,0.5344203189015388,0.014285714285714285,73.91312499999998,6.275850679873109,4,0.004761904761904762,0.9619047619047619,False,True,False,0.9619047619047619,S-DES|m0|p0|r1,0,0,1,1042111447,105,145.61801952063576,-145.61801952063576,0.1
S-DES,full_noise_campaign,es_stdp_teacher_off,0,2067333786,ES+STDP teacher-free,poisson_inhibitory,50.0,0.0,105,0.5326964231207967,0.03214285714285714,76.43999999999994,6.421401412844416,15,0.017857142857142856,0.8761904761904762,False,True,False,0.8761904761904762,S-DES|m0|p0|r1,0,0,1,620864040,105,145.61801952063576,-145.61801952063576,0.1
S-DES,full_noise_campaign,es_stdp_teacher_off,0,2067333786,ES+STDP teacher-free,poisson_inhibitory,100.0,0.0,105,0.5326116499491036,0.13333333333333333,80.26875,6.7680069864168235,78,0.09285714285714286,0.47619047619047616,False,True,False,0.47619047619047616,S-DES|m0|p0|r1,0,0,1,427956009,105,145.61801952063576,-145.61801952063576,0.1
S-DES,full_noise_campaign,es_stdp_teacher_off,0,2067333786,ES+STDP teacher-free,poisson_mixed,5.0,0.0,105,0.5400755798909813,0.010714285714285714,71.66124999999994,6.1747803769857175,3,0.0035714285714285713,0.9714285714285714,False,True,False,0.9714285714285714,S-DES|m0|p0|r1,0,0,1,54624173,105,145.61801952063576,-145.61801952063576,0.1
S-DES,full_noise_campaign,es_stdp_teacher_off,0,2067333786,ES+STDP teacher-free,poisson_mixed,10.0,0.0,105,0.5359753160737455,0.008333333333333333,71.85374999999996,6.177256590269671,1,0.0011904761904761906,0.9904761904761905,False,True,False,0.9904761904761905,S-DES|m0|p0|r1,0,0,1,1307732577,105,145.61801952063576,-145.61801952063576,0.1
S-DES,full_noise_campaign,es_stdp_teacher_off,0,2067333786,ES+STDP teacher-free,poisson_mixed,25.0,0.0,105,0.5300349639728665,0.011904761904761904,72.39624999999992,6.2086712858859965,5,0.005952380952380952,0.9523809523809523,False,True,False,0.9523809523809523,S-DES|m0|p0|r1,0,0,1,1502349150,105,145.61801952063576,-145.61801952063576,0.1
S-DES,full_noise_campaign,es_stdp_teacher_off,0,2067333786,ES+STDP teacher-free,poisson_mixed,50.0,0.0,105,0.5474704140797257,0.017857142857142856,74.64999999999995,6.358522429084664,5,0.005952380952380952,0.9523809523809523,False,True,False,0.9523809523809523,S-DES|m0|p0|r1,0,0,1,1116798347,105,145.61801952063576,-145.61801952063576,0.1
S-DES,full_noise_campaign,es_stdp_teacher_off,0,2067333786,ES+STDP teacher-free,poisson_mixed,100.0,0.0,105,0.5328197639901191,0.04880952380952381,78.50187499999996,6.606186649514887,16,0.01904761904761905,0.8761904761904762,False,True,False,0.8761904761904762,S-DES|m0|p0|r1,0,0,1,2035616162,105,145.61801952063576,-145.61801952063576,0.1
S-DES,full_noise_campaign,es_stdp_teacher_off,0,234641657,ES+STDP teacher-free,none,0.0,0.0,105,0.5301864759530872,0.0035714285714285713,71.66499999999999,6.165614067096843,2,0.002380952380952381,0.9809523809523809,False,True,False,0.9809523809523809,S-DES|m0|p1|r0,0,1,0,284847773,105,145.61801952063576,-145.61801952063576,0.1
S-DES,full_noise_campaign,es_stdp_teacher_off,0,234641657,ES+STDP teacher-free,poisson_excitatory,5.0,0.0,105,0.5307866160292178,0.007142857142857143,71.72937500000003,6.176666464565921,4,0.004761904761904762,0.9619047619047619,False,True,False,0.9619047619047619,S-DES|m0|p1|r0,0,1,0,2005069926,105,145.61801952063576,-145.61801952063576,0.1
S-DES,full_noise_campaign,es_stdp_teacher_off,0,234641657,ES+STDP teacher-free,poisson_excitatory,10.0,0.0,105,0.5338753189425915,0.010714285714285714,72.02249999999998,6.205632360206758,6,0.007142857142857143,0.9428571428571428,False,True,False,0.9428571428571428,S-DES|m0|p1|r0,0,1,0,146575921,105,145.61801952063576,-145.61801952063576,0.1
S-DES,full_noise_campaign,es_stdp_teacher_off,0,234641657,ES+STDP teacher-free,poisson_excitatory,25.0,0.0,105,0.5343452889937907,0.02023809523809524,75.43624999999994,6.4226571912709165,10,0.011904761904761904,0.9047619047619048,False,True,False,0.9047619047619048,S-DES|m0|p1|r0,0,1,0,482541356,105,145.61801952063576,-145.61801952063576,0.1
S-DES,full_noise_campaign,es_stdp_teacher_off,0,234641657,ES+STDP teacher-free,poisson_excitatory,50.0,0.0,105,0.5290660678874701,0.0761904761904762,83.44625,6.9563008875045025,31,0.036904761904761905,0.7523809523809524,False,True,False,0.7523809523809524,S-DES|m0|p1|r0,0,1,0,131990907,105,145.61801952063576,-145.61801952063576,0.1
