algorithm,experiment,condition,trial,rail,bit_index,bit_value,victor_purpura,van_rossum,l1_spike_count,l3_spike_count,noise_seed,noise_type,noise_rate_hz
S-DES,teaching_ablation,default_stdp_teacher_off,0,6,3,0,94.81000000000002,7.315528515945559,152,152,1148395644,poisson_excitatory,10.0
S-DES,teaching_ablation,default_stdp_teacher_off,0,7,3,1,63.13000000000018,6.373978205550004,79,70,1148395644,poisson_excitatory,10.0
S-DES,teaching_ablation,default_stdp_teacher_off,0,8,4,0,45.02000000000004,5.363130272179337,60,56,1148395644,poisson_excitatory,10.0
S-DES,teaching_ablation,default_stdp_teacher_off,0,9,4,1,99.14000000000003,7.346144369316865,175,175,1148395644,poisson_excitatory,10.0
S-DES,teaching_ablation,default_stdp_teacher_off,0,10,5,0,98.11000000000006,7.332995442132959,164,164,1148395644,poisson_excitatory,10.0
S-DES,teaching_ablation,default_stdp_teacher_off,0,11,5,1,54.37999999999999,5.978365378125214,68,57,1148395644,poisson_excitatory,10.0
S-DES,teaching_ablation,default_stdp_teacher_off,0,12,6,0,66.52999999999993,6.468534527738057,91,84,1148395644,poisson_excitatory,10.0
S-DES,teaching_ablation,default_stdp_teacher_off,0,13,6,1,89.74000000000014,7.192687400201166,138,138,1148395644,poisson_excitatory,10.0
S-DES,teaching_ablation,default_stdp_teacher_off,0,14,7,0,87.97000000000008,7.055890401401217,147,147,1148395644,poisson_excitatory,10.0
S-DES,teaching_ablation,default_stdp_teacher_off,0,15,7,1,59.60000000000016,5.934145200137428,88,83,1148395644,poisson_excitatory,10.0
S-DES,teaching_ablation,teacher_assisted_then_off,0,0,0,0,98.63999999999999,7.769144615549807,118,153,1148395644,poisson_excitatory,10.0
S-DES,teaching_ablation,teacher_assisted_then_off,0,1,0,1,64.35999999999999,5.972263132928543,92,98,1148395644,poisson_excitatory,10.0
S-DES,teaching_ablation,teacher_assisted_then_off,0,2,1,0,55.710000000000086,5.555326284954216,78,83,1148395644,poisson_excitatory,10.0
S-DES,teaching_ablation,teacher_assisted_then_off,0,3,1,1,110.0899999999999,8.239827658368931,132,174,1148395644,poisson_excitatory,10.0
S-DES,teaching_ablation,teacher_assisted_then_off,0,4,2,0,65.74000000000001,6.167734801545896,82,97,1148395644,poisson_excitatory,10.0
S-DES,teaching_ablation,teacher_assisted_then_off,0,5,2,1,97.1099999999998,7.534840418097734,128,156,1148395644,poisson_excitatory,10.0
S-DES,teaching_ablation,teacher_assisted_then_off,0,6,3,0,109.7300000000001,8.273860839102621,134,174,1148395644,poisson_excitatory,10.0
S-DES,teaching_ablation,teacher_assisted_then_off,0,7,3,1,55.41000000000001,5.501919182918366,76,78,1148395644,poisson_excitatory,10.0
S-DES,teaching_ablation,teacher_assisted_then_off,0,8,4,0,41.62,4.814879689417045,56,60,1148395644,poisson_excitatory,10.0
S-DES,teaching_ablation,teacher_assisted_then_off,0,9,4,1,133.03999999999994,9.125715822255485,154,217,1148395644,poisson_excitatory,10.0
